description,prediction,template,correct template,correct command
"","find . -type f -printf '%s %p\n' | sort -n -r | head - 5","find Path -type f -printf '%s %p\n' | sort -n -r | head - Quantity",y,y
"chang permiss of all file end with ""fits"" in folder ""/store/01""","find __SP__UNK -name __SP__UNK -exec chmod 755 {} \;","find Path -name Regex -exec chmod Permission {} \;",y,
"","find ""/store/01"" -name ""fits"" -exec chmod [permission] {} \;","find Path -name Regex -exec chmod Permission {} \;",y,
"","find ""/store/01"" -name __SP__UNK -exec chmod 644 {} \;","find Path -name Regex -exec chmod Permission {} \;",y,
"","find /__SP__UNK/01 -type f -name ""*__SP__UNK*"" -exec chmod 644 {} \;","find Path -type f -name Regex -exec chmod Permission {} \;",y,
"","find /store/01 -name ""*fits*"" -exec chmod 755 {} \;","find Path -name Regex -exec chmod Permission {} \;",y,extra string in argument
"","find __SP__UNK -name '*.mp3' -exec chmod __SP__UNK {} \;","find Path -name Regex -exec chmod Permission {} \;",y,
"","find ""/store/01"" -name ""fits"" -exec chmod [permission] {} \;","find Path -name Regex -exec chmod Permission {} \;",y,
"","find /__SP__UNK/01 -type f -name '*.__SP__UNK' -exec chmod 755 {} \;","find Path -type f -name Regex -exec chmod Permission {} \;",y,
"find file under current directori call ""foo"" or ""bar""","find . -type f \( -name '*.txt' -or -name '*.mpg' -or -name __SP__UNK \)","find Path -type f \( -name Regex -or -name Regex -or -name Regex \)",counting error,
"","find ""foo"" \( -name ""*"" -or -name ""bar"" \) ","find Path \( -name Regex -or -name Regex \)",y,
"","find . -regextype posix-egrep -type f -regex __SP__UNK","find Path -regextype posix-egrep -type f -regex Regex",y,
"","find . -path '*bar*' ","find Path -path Regex",counting error,
"","find . -path ./bar ","find Path -path Regex",counting error,
"","find . -iname foo","find Path -iname Regex",logic error,
"","find . \( -name ""foo"" -or -name ""bar"" \) ","find Path \( -name Regex -or -name Regex \)",y,y
"","find . -name ""foo*"" ","find Path -name Regex",logic error,
"search in current directori and all sub-directori except ./D and ani further sub-directori also name d for file name hi.dat","find . -path __SP__UNK -prune -or -name __SP__UNK ","find Path -path Regex -prune -or -name Regex",y,
"","find . \( -iname ""./D"" -or -iname ""hi.dat"" \) ","find Path \( -iname Regex -or -iname Regex \)",logic error,
"","find . \( -name ./D -or -name __SP__UNK \) ","find Path \( -name Regex -or -name Regex \)",logic error,
"","find . -path ./D -prune -or -name hi.dat ","find Path -path Regex -prune -or -name Regex",y,regex error
"","find . -path ./D -prune -or -name hi.dat ","find Path -path Regex -prune -or -name Regex",y,regex error
"","find . \( -name __SP__UNK -or -name __SP__UNK \) -prune -or -name __SP__UNK ","find Path \( -name Regex -or -name Regex \) -prune -or -name Regex",logic error,
"","find . \( -name ""./D"" -or -name ""*"" \) -prune -or -name ""hi.dat"" ","find Path \( -name Regex -or -name Regex \) -prune -or -name Regex",logic error,
"","find . \( -name D -prune \) -or -name hi.dat","find Path \( -name Regex -prune \) -or -name Regex",y,y
"renam .jpg file to .jpeg in all level 2 subdirectori of current directori","find . -mindepth 2 -maxdepth 2 -name __SP__UNK | xargs -I {} mv {} __SP__UNK","find Path -mindepth Quantity -maxdepth Quantity -name Regex | xargs -I {} mv {} File",wrong utility,
"","find "".jpeg"" -mindepth [quantity] -maxdepth 2 -type d | rename ""*.jpg""","find Path -mindepth Quantity -maxdepth Quantity -type d | rename Regex",missing utility,
"","rename __SP__UNK __SP__UNK","rename Regex Regex",missing flag,
"","find . -maxdepth 2 -name '*.jpg' -exec rename 's/\.jpg$/.jpeg/' { \;","find Path -maxdepth Quantity -name Regex -exec rename Regex Regex \;",missing flag,
"","find . -maxdepth 2 -name '*.jpg' | xargs -0 -I {} mv {} .jpeg","find Path -maxdepth Quantity -name Regex | xargs -0 -I {} mv {} File",wrong utility,
"","rename __SP__UNK __SP__UNK","rename Regex Regex",missing flag,
"","find . -maxdepth 2 -type f -name ""*.jpeg"" -exec rename ""*.jpg"" {} \;","find Path -maxdepth Quantity -type f -name Regex -exec rename Regex {} \;",missing flag,
"","find . -mindepth 2 -name '*.jpg' -exec rename 's/\.jpg$/.jpeg/' { \;","find Path -mindepth Quantity -name Regex -exec rename Regex Regex \;",missing flag,
"print top 10 largest file and directori","find . -type f -printf ""%C@ %p\n"" | sort -r -n | head -n 10","find Path -type f -printf ""%C@ %p\n"" | sort -r -n | head -n Quantity",y,
"","find . -type f -printf __SP__UNK | sort -n | tail - 10 | cut -f [number] -d Regex","find Path -type f -printf __SP__UNK | sort -n | tail - Quantity | cut -f Number -d Regex",y,
"","find . -type f -printf ""%C@ %p\n"" | sort -r -n | head -n 10","find Path -type f -printf ""%C@ %p\n"" | sort -r -n | head -n Quantity",y,
"","du -s -h * | sort -n -r","du -s -h File | sort -n -r",missing utility,
"","find | head","find | head",wrong utility,
"","du -s -x -b | sort -n -r | head -n 10","du -s -x -b | sort -n -r | head -n Quantity",y,y
"","ls -1 | head -n 10","ls -1 | head -n Quantity",wrong utility,
"","du -h -s | sort -n -r","du -h -s | sort -n -r",missing utility,
"find all file in current folder which been modifi between 2 specif date","find . -type f -newermt __SP__UNK ! -newermt __SP__UNK","find Path -type f -newermt Regex ! -newermt Regex",y,y
"","find . -newermt 2 ! -newermt Regex ","find Path -newermt Regex ! -newermt Regex",y,
"","find . -type f -newermt __SP__UNK ! -newermt __SP__UNK","find Path -type f -newermt Regex ! -newermt Regex",y,y
"","find . -newermt ""__SP__UNK __SP__UNK __SP__UNK"" ! -newermt ""__SP__UNK __SP__UNK"" ! -newermt ""__SP__UNK __SP__UNK""","find Path -newermt Regex ! -newermt Regex ! -newermt Regex",extra argument,
"","find . -newermt ""__SP__UNK __SP__UNK __SP__UNK"" ! -newermt ""__SP__UNK 10 __SP__UNK""","find Path -newermt Regex ! -newermt Regex",y,
"","find . -newermt __SP__UNK -and ! -newermt __SP__UNK","find Path -newermt Regex -and ! -newermt Regex",y,
"","find . -newermt [regex] ! -newermt 2","find Path -newermt Regex ! -newermt Regex",y,
"","find . -newermt ""__SP__UNK __SP__UNK __SP__UNK"" ! -newermt ""2013-06-01""","find Path -newermt Regex ! -newermt Regex",y,
"generat spanish alphabet and number each charact","echo -e __SP__UNK | nl","echo -e Regex | nl",y,
"","echo -e Regex | nl","echo -e Regex | nl",y,
"","cat __SP__UNK | tr -d __SP__UNK","cat File | tr -d Regex",rare utility,
"","echo ""${__SP__UNK[@]}"" | tr -c -d '[[:digit:]]' | tr","echo Regex | tr -c -d Regex | tr",rare utility,
"","echo ""$__SP__UNK"" | wc -c","echo Regex | wc -c",rare utility,
"","echo __SP__UNK | nl","echo Regex | nl",y,
"","echo [regex] | nl","echo Regex | nl",y,
"","echo ""${__SP__UNK[@]}"" | tr -c -d '[:digit:]]'","echo Regex | tr -c -d Regex",wrong utility,
"display all file in folder mydir1 mydir2 which are bigger than 2kb and not been access in last 30*24 hour","find __SP__UNK -size +10M -atime +30 ","find Path -size +Size -atime +Timespan",counting error,
"","find ""mydir1"" ""mydir2"" -size +2k -atime +30h ","find Path Path -size +Size -atime +Timespan",y,y
"","find mydir1 -size __SP__UNK -atime +30 ","find Path -size Size -atime +Timespan",counting error,
"","find /mydir2 -size +30 -atime +30 ","find Path -size +Size -atime +Timespan",counting error,
"","find mydir1 mydir1 mydir2 -size +30k -and -atime +30 ","find Path Path Path -size +Size -and -atime +Timespan",counting error,
"","find __SP__UNK -type f -size __SP__UNK -atime +30 ","find Path -type f -size Size -atime +Timespan",counting error,
"","find ""mydir1"" -size +2k \( -iname ""mydir2"" -or -atime +30h \) ","find Path -size +Size \( -iname Regex -or -atime +Timespan \)",counting error,
"","find /mydir -atime +30 -and -atime +30","find Path -atime +Timespan -and -atime +Timespan",counting error,
"write out entir directori hierarchi from current directori","find . -type d","find Path -type d",extra flag,
"","find . -type d | xargs -0 -I {} ls -d -r -t {} | tail -n [quantity]","find Path -type d | xargs -0 -I {} ls -d -r -t {} | tail -n Quantity",extra flag,
"","find . -type d -exec ls -d -l -r -t {} \; | head","find Path -type d -exec ls -d -l -r -t {} \; | head",extra flag,
"","find . -type d","find Path -type d",extra flag,
"","find . -type d","find Path -type d",extra flag,
"","find . -type d | xargs -I {} mkdir __SP__UNK","find Path -type d | xargs -I {} mkdir Directory",extra flag,
"","find . -type d | xargs -I {} rmdir {}","find Path -type d | xargs -I {} rmdir {}",extra flag,
"","find . -type d","find Path -type d",extra flag,
"creat temporari file in tmpdir folder or /tmp/ if tmpdir is not defin name by templat ${tempname}.XXXXXX and save path to new file in a TMPPS_PREFIX variabl","mktemp -p /tmp","mktemp -p Directory",complex description,
"","find ""TMPPS_PREFIX"" ! -path ""${tempname}.XXXXXX"" | xargs -0 -n [quantity] -P [quantity] -I {} dirname {} | xargs -I {} tar -c -z -f [file] -C ""/tmp/"" {}","find Path ! -path Regex | xargs -0 -n Quantity -P Quantity -I {} dirname {} | xargs -I {} tar -c -z -f File -C Directory {}",extra utility,
"","mktemp","mktemp",complex description,
"","mkdir -p /tmp/test/ {}","mkdir -p Directory {}",complex description,
"","mktemp -d /tmp/if}.XXXXXX","mktemp -d Regex",complex description,
"","mktemp -u","mktemp -u",complex description,
"","find ""/tmp/"" -type f | xargs -0 -I {} grep -I -i -l ""${tempname}.XXXXXX"" {} | xargs -0 -I {} mv {} ""TMPPS_PREFIX""","find Path -type f | xargs -0 -I {} grep -I -i -l Regex {} | xargs -0 -I {} mv {} File",complex description,
"","find /tmp/ -maxdepth 1 -type f | xargs -0 -I {} mv {} {}.__SP__UNK","find Path -maxdepth Quantity -type f | xargs -0 -I {} mv {} File",complex description,
"display a long list of all directori in current folder","find . -type d ","find Path -type d",y,y
"","find . -type d ","find Path -type d",y,y
"","find . -type d ","find Path -type d",y,y
"","find . -type d ","find Path -type d",y,y
"","find . -type d -exec ls -l -d {} \;","find Path -type d -exec ls -l -d {} \;",y,y
"","find . -type d ","find Path -type d",y,y
"","find . -type d ","find Path -type d",y,y
"","find . -type d ","find Path -type d",y,y
"find all regular file in current folder whose name word photo or pictur and which been modifi in last 30 minut","find . -type f -name __SP__UNK -mmin -30","find Path -type f -name Regex -mmin -Quantity",logic error,
"","find . -name ""*"" -type f -mtime -30m","find Path -name Regex -type f -mtime -Timespan",logic error,
"","find . -type f -name __SP__UNK -mtime -30","find Path -type f -name Regex -mtime -Timespan",logic error,
"","find . -type f -name ""__SP__UNK*"" -mmin -30","find Path -type f -name Regex -mmin -Quantity",logic error,
"","find . -type f -name 'photo*' -mtime -30 ","find Path -type f -name Regex -mtime -Timespan",logic error,
"","find __SP__UNK -type f -iregex __SP__UNK -mmin -30","find Path -type f -iregex Regex -mmin -Quantity",logic error,
"","find . -name ""*"" -type f -mtime -30m","find Path -name Regex -type f -mtime -Timespan",logic error,
"","find . -type f -name '__SP__UNK*' -mmin -30","find Path -type f -name Regex -mmin -Quantity",logic error,
"find all file and directori with space in name under ~/Library directori","find __SP__UNK -name '* *'","find Path -name Regex",y,
"","find ""~/Library"" -name ""*""","find Path -name Regex",y,missing string in argument
"","find ~/Library -name '* *'","find Path -name Regex",y,y
"","find ~/Library -name '* *'","find Path -name Regex",y,y
"","find ~/Library -name '* *'","find Path -name Regex",y,y
"","find __SP__UNK -name '* *'","find Path -name Regex",y,
"","find . -name ""~/Library""","find Path -name Regex",y,
"","find ~/Library -name '* *'","find Path -name Regex",y,y
"list file with absolut path use find","find . -path __SP__UNK","find Path -path Regex",wrong utility,
"","find . -type f -printf '%T@ %p\n' | sort -n | tail - [quantity] | cut -f [number] -d Regex","find Path -type f -printf '%T@ %p\n' | sort -n | tail - Quantity | cut -f Number -d Regex",wrong utility,
"","find . ! -newermt __SP__UNK ","find Path ! -newermt Regex",extra flag,
"","find . -iname ""*.pl"" -exec ls -l -d {} \;","find Path -iname Regex -exec ls -l -d {} \;",wrong flag,
"","ls $(pwd)","ls $( pwd )",wrong utility,
"","find . -type f -exec ls -s {} \; | sort -n -r | head - 10","find Path -type f -exec ls -s {} \; | sort -n -r | head - Quantity",wrong utility,
"","find . -path [regex]","find Path -path Regex",wrong utility,
"","find . -exec ls -l {} \;","find Path -exec ls -l {} \;",wrong utility,
"recurs chang owner of directori testproject and all file into it to user ftpuser","chown -R __SP__UNK __SP__UNK","chown -R Regex File",y,
"","chown -R Regex [file]","chown -R Regex File",y,
"","chown -R ftpuser testproject","chown -R Regex File",y,
"","chown -R __SP__UNK andrewr/andrewr","chown -R Regex File",y,
"","chown ftpuser testproject upload_directory","chown Regex File File",extra argument,
"","chown -R __SP__UNK __SP__UNK","chown -R Regex File",y,
"","chown -R [regex] [file]","chown -R Regex File",y,
"","chown -R __SP__UNK upload_directory","chown -R Regex File",y,
"make directori and parent as need for directori name of file ""$f""","mkdir -p $(dirname __SP__UNK)","mkdir -p $( dirname Regex )",y,
"","mkdir -p $(dirname ""$f"")","mkdir -p $( dirname Regex )",y,y
"","mkdir -p __SP__UNK","mkdir -p Directory",missing utility,
"","mkdir -p ""$f""","mkdir -p Directory",missing utility,
"","mkdir -p $f","mkdir -p Directory",missing utility,
"","mkdir -p __SP__UNK","mkdir -p Directory",missing utility,
"","mkdir -p $(dirname ""$f"")","mkdir -p $( dirname Regex )",y,y
"","mkdir -p $(dirname $f)","mkdir -p $( dirname Regex )",y,y
"search for ""foo"" in everi file in current directori and number output","find . -name foo | xargs -I {} wc -l {}","find Path -name Regex | xargs -I {} wc -l {}",wrong utility,
"","find . -name ""*"" | xargs -n [quantity] -I {} grep -n ""foo"" {}","find Path -name Regex | xargs -n Quantity -I {} grep -n Regex {}",wrong utility,
"","find . -name foo -type f -exec file {} \;","find Path -name Regex -type f -exec file {} \;",wrong utility,
"","find . -name foo | xargs -I {} grep ""foo"" {}","find Path -name Regex | xargs -I {} grep Regex {}",wrong utility,
"","find . -exec grep foo {} + | wc -l","find Path -exec grep Regex {} + | wc -l",wrong utility,
"","find . -type f | xargs -I {} grep __SP__UNK {}","find Path -type f | xargs -I {} grep Regex {}",wrong utility,
"","find . -name ""foo"" | xargs -I {} grep '.*' {}","find Path -name Regex | xargs -I {} grep Regex {}",wrong utility,
"","find . -name foo | xargs -I {} wc -l {}","find Path -name Regex | xargs -I {} wc -l {}",wrong utility,
"find all file that been modifi in last 7 day","find . -mtime -7","find Path -mtime -Timespan",y,y
"","find . -mtime -7","find Path -mtime -Timespan",y,y
"","find ./ -daystart -mtime -7","find Path -daystart -mtime -Timespan",y,y
"","find . -mtime -7","find Path -mtime -Timespan",y,y
"","find . -mtime -7 -daystart","find Path -mtime -Timespan -daystart",y,y
"","find . -mtime -7","find Path -mtime -Timespan",y,y
"","find . -mtime -7","find Path -mtime -Timespan",y,y
"","find . -mtime -7","find Path -mtime -Timespan",y,y
"creat intermedi directori ""full"" ""path"" as requir and directori ""to""","mkdir -p __SP__UNK","mkdir -p Directory",poor description,
"","tar -p ""path"" ""to"" [file] [file] [file] | xargs -I {} tar -c -v -f ""full"" [file] {}","tar -p File File File File File | xargs -I {} tar -c -v -f File File {}",wrong utility,
"","mkdir -p __SP__UNK","mkdir -p Directory",poor description,
"","mkdir -p $path","mkdir -p Directory",poor description,
"","mkdir -p full/path","mkdir -p Directory",poor description,
"","mkdir -p __SP__UNK __SP__UNK","mkdir -p Directory Directory",poor description,
"","mkdir -p ""to"" | xargs -I {} tar -c -v -f $(readlink -f ""full"" \) ""path"")","mkdir -p Directory | xargs -I {} tar -c -v -f $( readlink -f File File File )",wrong utility,
"","mkdir -p path/to/folder","mkdir -p Directory",poor description,
"find all sgid bit file whose permiss set to 644","find / -perm __SP__UNK","find Path -perm Permission",y,
"","find . -perm 644 -type f -exec chmod sgid bit {} \;","find Path -perm Permission -type f -exec chmod Permission File {} \;",extra utility,
"","find / -perm __SP__UNK","find Path -perm Permission",y,
"","find / -perm __SP__UNK","find Path -perm Permission",y,
"","find / -perm 644","find Path -perm Permission",y,
"","find / -perm __SP__UNK","find Path -perm Permission",y,
"","find . -perm 644 -type f -exec chmod sgid bit {} \;","find Path -perm Permission -type f -exec chmod Permission File {} \;",extra utility,
"","find / -perm 644","find Path -perm Permission",y,
"renam all ""thumbs"" directori to ""thumb"" in current directori tree","find . -name __SP__UNK -exec rename __SP__UNK {} \;","find Path -name Regex -exec rename Regex {} \;",missing flag,
"","find ""thumbs"" -type d -exec mv {} ""thumb"" \;","find Path -type d -exec mv {} File \;",missing flag,
"","find . -name __SP__UNK -exec rename __SP__UNK {} \;","find Path -name Regex -exec rename Regex {} \;",missing flag,
"","find . -name __SP__UNK -exec mv {} __SP__UNK \;","find Path -name Regex -exec mv {} File \;",missing flag,
"","mv $(tree -f thumbs)","mv $( tree -f Directory )",wrong utility,
"","find . -name __SP__UNK -exec rename __SP__UNK {} \;","find Path -name Regex -exec rename Regex {} \;",missing flag,
"","mv ""thumbs"" ""thumb""","mv File File",missing flag,
"","mv $(find . -name __SP__UNK -type d)","mv $( find Path -name Regex -type d )",missing argument,
"find imag file and move them to pictur directori","find . -name __SP__UNK | xargs -0 -I {} mv {} __SP__UNK","find Path -name Regex | xargs -0 -I {} mv {} File",y,
"","find . -name ""*"" -exec mv {} [file] \;","find Path -name Regex -exec mv {} File \;",y,
"","find . -name __SP__UNK -exec mv {} pictures \;","find Path -name Regex -exec mv {} File \;",y,
"","find . -iname ""MyCProgram.jpg"" -exec mv {} __SP__UNK \;","find Path -iname Regex -exec mv {} File \;",y,
"","find . -name pictures -exec mv {} pictures \;","find Path -name Regex -exec mv {} File \;",y,
"","find . -name ""*.old"" -exec mv {} __SP__UNK \;","find Path -name Regex -exec mv {} File \;",y,
"","find . -name ""*"" -exec mv {} [file] \;","find Path -name Regex -exec mv {} File \;",y,
"","find . -name ""*.jpg"" -exec mv {} __SP__UNK {} +","find Path -name Regex -exec mv {} File {} +",y,
"chang permiss of all regular file to 644 in folder /home/nobody/public_html","find __SP__UNK -type f -exec chmod 644 {} \;","find Path -type f -exec chmod Permission {} \;",y,
"","find ""/home/nobody/public_html"" -type f -exec chmod 644 {} \;","find Path -type f -exec chmod Permission {} \;",y,y
"","find /home/nobody/public_html -type f -exec chmod 644 {} \;","find Path -type f -exec chmod Permission {} \;",y,y
"","find /home/nobody/public_html -type f -exec chmod 644 {} \;","find Path -type f -exec chmod Permission {} \;",y,y
"","find /home/nobody/public_html -type f -exec chmod 644 {} +","find Path -type f -exec chmod Permission {} +",y,y
"","find __SP__UNK -type f -exec chmod 644 {} \;","find Path -type f -exec chmod Permission {} \;",y,
"","find ""/home/nobody/public_html"" -type f -exec chmod 644 {} \;","find Path -type f -exec chmod Permission {} \;",y,y
"","find /home/nobody/public_html -type f -exec chmod 644 {} +","find Path -type f -exec chmod Permission {} +",y,y
"show all "".acc"" file in folder /home","find /home -type f -name __SP__UNK","find Path -type f -name Regex",y,
"","find ""/home"" -type f -name "".acc""","find Path -type f -name Regex",y,missing string in argument
"","find /home -type f -name '*.mp3'","find Path -type f -name Regex",y,
"","find /home -name ""*.__SP__UNK""","find Path -name Regex",y,
"","find /home -type f -name '*.acc'","find Path -type f -name Regex",y,y
"","find /home -type f -name __SP__UNK","find Path -type f -name Regex",y,
"","find "".acc"" -type f -name ""/home""","find Path -type f -name Regex",y,
"","find /home -name ""*.__SP__UNK""","find Path -name Regex",y,
"delet all directori found in $LOGDIR that are more than a work-week old","find __SP__UNK -type d -size +1000 -exec rm -r -f {} \;","find Path -type d -size +Size -exec rm -r -f {} \;",wrong flag,
"","find ""$LOGDIR"" -type d -mtime [timespan] -exec rm -f {} \;","find Path -type d -mtime Timespan -exec rm -f {} \;",missing flag,
"","find $LOGDIR -type d -mtime +2 -exec rm -f {} \;","find Path -type d -mtime +Timespan -exec rm -f {} \;",missing flag,
"","find $__SP__UNK -type d -mtime +7 -delete","find Path -type d -mtime +Timespan -delete",y,
"","find ""$LOGDIR"" -type d -mtime +a -exec rm {} \;","find Path -type d -mtime +Timespan -exec rm {} \;",missing flag,quantity convertion error
"","find __SP__UNK -type d -name __SP__UNK | xargs -0 -I {} rm -r -f {}","find Path -type d -name Regex | xargs -0 -I {} rm -r -f {}",,
"","find ""$LOGDIR"" -type d -mtime [timespan] -delete","find Path -type d -mtime Timespan -delete",y,
"","find $__SP__UNK -type d -mtime +0 -exec rm -f {} \;","find Path -type d -mtime +Timespan -exec rm -f {} \;",missing flag,
"search for all *.conf file in entir file system","find / -name __SP__UNK","find Path -name Regex",y,
"","find . -name ""*.conf""","find Path -name Regex",y,y
"","find / -name *.conf ","find Path -name Regex",y,
"","find / -name ""*.conf""","find Path -name Regex",y,y
